Name,MexState,Source,Year,LonX,LatY,OBJECTID,it_ID,it_GZ_ID,Region,Type,YearStart,YearEnd,it_Etnia_principal,GZ_label,GZ_partido_generico,GZ_provincia_generica,GZ_categoria_especial,Country,NameFull,NameVariants,NameModernDiff,Evang,ImportanciaRank,Notes,PopTotal,1782,Tributarios_Indios,HypotheticalTributarios_NonIndios,HypotheticalTributarios_Total,Eclesiasticos,Pop_Blancos,Casados_Blancos,Solteros_Blancos,MenM_Blancos,Casadas_Blancos,Solteras_Blancos,MenF_Blancos,Viudos_Blancos,Viudas_Blancos,Fam_Blancos,Pop_Indios,Casados_Indios,Solteros_Indios,MenM_Indios,Casadas_Indios,Solteras_Indios,MenF_Indios,Viudos_Indios,Viudas_Indios,Fam_Indios,Pop_Indefinidos,Casados_Indefinidos,Solteros_Indefinidos,MenM_Indefinidos,Casadas_Indefinidos,Solteras_Indefinidos,MenF_Indefinidos,Viudos_Indefinidos,Viudas_Indefinidos,Fam_Indefinidos,Pop_Mestizos,Casados_Mestizos,Solteros_Mestizos,MenM_Mestizos,Casadas_Mestizos,Solteras_Mestizos,MenF_Mestizos,Viudos_Mestizos,Viudas_Mestizos,Fam_Mestizos,Pop_Castas,Casados_Castas,Solteros_Castas,MenM_Castas,Casadas_Castas,Solteras_Castas,MenF_Castas,Viudos_Castas,Viudas_Castas,Fam_Castas,Pop_Negros,Casados_Negros,Solteros_Negros,MenM_Negros,Casadas_Negros,Solteras_Negros,MenF_Negros,Viudos_Negros,Viudas_Negros,Fam_Negros,Pop_NMCI,Casados_NMCI,Solteros_NMCI,MenM_NMCI,Casadas_NMCI,Solteras_NMCI,MenF_NMCI,Viudos_NMCI,Viudas_NMCI,Fam_NMCI,Pop_NonIndios,Casados_NonIndios,Solteros_NonIndios,MenM_NonIndios,Casadas_NonIndios,Solteras_NonIndios,MenF_NonIndios,Viudos_NonIndios,Viudas_NonIndios,Fam_NonIndios,Pop_Total,Casados_Total,Solteros_Total,MenM_Total,Casadas_Total,Solteras_Total,MenF_Total,Viudos_Total,Viudas_Total,Fam_Total
Comitan,Chiapas,lujan-informes,1774,-92.134167,16.251111,1323,1354,2000011,Guanajuato,Nucleo,1774,1774,Mixto,Comitan,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Santo Domingo Comitan,None,None,Santo Domingo,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",448,,189,33,222,4,4,,,,,,,,,,378,50,112,,50,116,,20,30,,0,,,,,,,,,,66,0,0,,0,0,,30,36,,0,,,,,,,,,,,,,,,,,,,,66,0,0,,0,0,,30,36,,70,0,0,,0,0,,30,36,,448,50,112,,50,116,,50,66,
San Miguel Guistan,Chiapas,lujan-informes,1774,-92.452778,16.71,1325,1356,2000012,Guanajuato,Nucleo,1774,1774,,Huistan,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Miguel Huistan,None,None,San Miguel,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",320,,160,0,160,0,0,,,,,,,,,,320,80,50,,80,60,,20,30,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,320,80,50,,80,60,,20,30,
Istacomitan,Chiapas,lujan-informes,1774,-93.095,17.430278,1326,1357,2000013,Guanajuato,Nucleo,1774,1774,Zoque,Ixtacomitan,Tuxtla,Chiapas,Pueblo de indios,Mexico,Ixtacomitan,None,None,None,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",127,,62.5,0,62.5,1,1,,,,,,,,,,126,30,22,,31,22,,,21,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,127,30,22,,31,22,,0,21,
Ococingo,Chiapas,lujan-informes,1774,-92.096111,16.907222,1328,1359,2000014,Guanajuato,Nucleo,1774,1774,,Ocosingo,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Jacinto Ocosingo,None,None,San Jacinto,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",219,,105,3.5,108.5,2,2,,,,,,,,,,210,10,60,,10,80,,20,30,,0,,,,,,,,,,7,0,0,,0,0,,3,4,,0,,,,,,,,,,,,,,,,,,,,7,0,0,,0,0,,3,4,,9,0,0,,0,0,,3,4,,219,10,60,,10,80,,23,34,
Palenque,Chiapas,lujan-informes,1774,-91.982222,17.509167,1330,1361,2000015,Guanajuato,Nucleo,1774,1774,Chol,Palenque,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Santo Domingo Palenque,None,None,Santo Domingo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",79,,39.5,0,39.5,0,0,,,,,,,,,,79,15,10,,15,15,,20,4,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,79,15,10,,15,15,,20,4,
San Andres Istacolot,Chiapas,lujan-informes,1774,-92.713333,16.883611,1332,1363,2000016,Guanajuato,Nucleo,1774,1774,Tzotzil,San Andres,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Andres,San Andres Istacolot,Larrainzar,San Andres,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",385,,128.5,64.5,193,0,0,,,,,,,,,,256,68,32,,67,43,,6,40,,0,,,,,,,,,,129,33,25,,33,38,,0,0,,0,,,,,,,,,,,,,,,,,,,,129,33,25,,33,38,,0,0,,129,33,25,,33,38,,0,0,,385,101,57,,100,81,,6,40,
Simojovel,Chiapas,lujan-informes,1774,-92.714167,17.14,1333,1364,2000017,Guanajuato,Nucleo,1774,1774,Tzotzil,Simojovel,Ciudad Real,Chiapas,Pueblo de indios,Mexico,Simojovel,None,None,None,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",145,,72,0,72,0,0,,,,,,,,,,145,28,20,,29,17,,13,38,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,,145,28,20,,29,17,,13,38,
San Mateo Tila,Chiapas,lujan-informes,1774,-92.425556,17.300278,1336,1367,2000020,Guanajuato,Nucleo,1774,1774,,Tila,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Mateo Tila,None,None,San Mateo,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",642,,320,0,320,2,2,,,,,,,,,,640,150,100,,150,120,,40,80,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,2,0,0,,0,0,,0,0,,642,150,100,,150,120,,40,80,
Tuxtla,Chiapas,lujan-informes,1774,-93.116667,16.752778,1339,1370,2000022,Guanajuato,Nucleo,1774,1774,Zoque,Tuxtla,Tuxtla,Chiapas,Pueblo de indios,Mexico,San Marcos Tuxtla,Tustla| Tusta|,None,San Marcos,5,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",670,,311.5,23,334.5,1,1,,,,,,,,,,623,81,140,,81,133,,13,175,,0,,,,,,,,,,46,0,0,,0,0,,20,26,,0,,,,,,,,,,,,,,,,,,,,46,0,0,,0,0,,20,26,,47,0,0,,0,0,,20,26,,670,81,140,,81,133,,33,201,
Acala,Chiapas,lujan-informes,1774,-92.805556,16.556111,1341,1372,2000024,Guanajuato,Nucleo,1774,1774,Chiapaneca,Acala,Ciudad Real,Chiapas,Pueblo de indios,Mexico,San Pablo Acala,None,None,San Pablo,6,"La categoria ""Mestizos"" aqui se refiere a ""indios ladinos""",89,,44,0,44,1,1,,,,,,,,,,88,12,17,,12,20,,2,25,,0,,,,,,,,,,0,0,0,,0,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,0,0,,1,0,0,,0,0,,0,0,,89,12,17,,12,20,,2,25,
