AgeLower,PctBirths,ASFR_1W_r0,ASFR_1W_r5,ASFR_3W_r0,ASFR_3W_r5,ASFR_8W_r0,ASFR_8W_r5
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
10,0.03,0.147827103,0.157351256,0.123722304,0.131731921,0.092233333,0.098247317
15,0.24,1.258478369,1.373852814,1.042655602,1.137702636,0.762433984,0.831887507
20,0.26,1.482,1.658231511,1.210539188,1.355155823,0.863131374,0.965994203
25,0.23,1.452305389,1.665995131,1.165444646,1.33776083,0.805582278,0.923602757
30,0.16,1.135397039,1.335315568,0.89284477,1.05046832,0.595453934,0.700437158
35,0.07,0.566935484,0.683965517,0.43625,0.525855004,0.279293439,0.336556639
40,0.01,0.094235925,0.116562194,0.070564448,0.087298535,0.043200625,0.053452877
45,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
