Name,Year,Age,Status,AgeStatus,T,M,F
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Alta California,1790,Total,Pop,Pop_Total,8540,4472,4068
Alta California,1790,0_6,Pop,Pop_0_6,2147,1084,1063
Alta California,1790,7_15,Pop,Pop_7_15,1854,1057,797
Alta California,1790,16_24,Pop,Pop_16_24,1655,899,756
Alta California,1790,25_39,Pop,Pop_25_39,1841,961,880
Alta California,1790,40_49,Pop,Pop_40_49,567,249,318
Alta California,1790,50_up,Pop,Pop_50_up,476,222,254
Alta California,1790,Total,Solteros,Solteros_Total,4362,2435,1927
Alta California,1790,0_6,Solteros,Solteros_0_6,2147,1084,1063
Alta California,1790,7_15,Solteros,Solteros_7_15,1758,1045,713
Alta California,1790,16_24,Solteros,Solteros_16_24,265,191,74
Alta California,1790,25_39,Solteros,Solteros_25_39,102,79,23
Alta California,1790,40_49,Solteros,Solteros_40_49,42,21,21
Alta California,1790,50_up,Solteros,Solteros_50_up,48,15,33
Alta California,1790,Total,Casados,Casados_Total,3771,1920,1851
Alta California,1790,0_6,Casados,Casados_0_6,0,0,0
Alta California,1790,7_15,Casados,Casados_7_15,94,12,82
Alta California,1790,16_24,Casados,Casados_16_24,1344,687,657
Alta California,1790,25_39,Casados,Casados_25_39,1634,847,787
Alta California,1790,40_49,Casados,Casados_40_49,451,207,244
Alta California,1790,50_up,Casados,Casados_50_up,248,167,81
Alta California,1790,Total,Viudos,Viudos_Total,407,117,290
Alta California,1790,0_6,Viudos,Viudos_0_6,0,0,0
Alta California,1790,7_15,Viudos,Viudos_7_15,2,0,2
Alta California,1790,16_24,Viudos,Viudos_16_24,46,21,25
Alta California,1790,25_39,Viudos,Viudos_25_39,105,35,70
Alta California,1790,40_49,Viudos,Viudos_40_49,74,21,53
Alta California,1790,50_up,Viudos,Viudos_50_up,180,40,140
Baja California,1790,Total,Pop,Pop_Total,4076,2258,1818
Baja California,1790,0_6,Pop,Pop_0_6,773,398,375
Baja California,1790,7_15,Pop,Pop_7_15,739,392,347
Baja California,1790,16_24,Pop,Pop_16_24,615,321,294
Baja California,1790,25_39,Pop,Pop_25_39,851,473,378
Baja California,1790,40_49,Pop,Pop_40_49,500,300,200
Baja California,1790,50_up,Pop,Pop_50_up,598,374,224
Baja California,1790,Total,Solteros,Solteros_Total,1801,1082,719
Baja California,1790,0_6,Solteros,Solteros_0_6,773,398,375
Baja California,1790,7_15,Solteros,Solteros_7_15,682,390,292
Baja California,1790,16_24,Solteros,Solteros_16_24,228,185,43
Baja California,1790,25_39,Solteros,Solteros_25_39,78,76,2
Baja California,1790,40_49,Solteros,Solteros_40_49,24,22,2
Baja California,1790,50_up,Solteros,Solteros_50_up,16,11,5
Baja California,1790,Total,Casados,Casados_Total,1914,958,956
