ORDNEW,ORD,Partido,Provincia,Notes,Year1_1805,Year2_1805,YearMid1805,Fecha1_1805,Fecha2_1805,Year1_1810,Year2_1810,YearMid1810,Fecha1_1810,Fecha2_1810,NumCabeceras1805,NumCabeceras1810,TribsMedios_Ind_1805,TribsEnteros_Ind_1805,TribsMedios_Mul_1805,TribsEnteros_Mul_1805,TribsPersons_Ind_1805,TribsPersons_Mul_1805,TribsPersons_Total_1805,Tribs1805,TotalTribPop1805,TotalTribPop1805_NML,Pct_TotalTribPop1805_NML,TotalTribPop1805_Ind,Pct_TotalTribPop1805_Ind,PT_ratio_1805,PT_ratio_1805_Ind,TribsMedios_Ind_1810,TribsEnteros_Ind_1810,TribsMedios_Mul_1810,TribsEnteros_Mul_1810,TribsPersons_Ind_1810,TribsPersons_Mul_1810,TribsPersons_Total_1810,Tribs1810,TotalPop1805_Est,Indios,NonIndios,Blancos,Castas,Mestizos,NM,Pct_Indios,Pct_NonIndios,Pct_Blancos,Pct_Castas,Pct_Mestizos,Pct_NM,TributosRey1805,TributosEncomiendaCaxa1805,TributosEncomiendaFueraCaxa1805,TributosEncomiendaTotal1805,TributosDiezmosEclesiasticosCaxa1805,TributosDiezmosEclesiasticosFueraCaxa1805,TributosDiezmosEclesiasticosTotal1805,TributosDoctrinas1805,MedioRealMinistros1805,MedioRealHospital1805,TotalYearlyTribute1805,TributosRey1810,TributosEncomiendaCaxa1810,TributoEncomiendaFueraCaxa1810,TributosEncomiendaTotal1810,TributosDiezmosEclesiasticosCaxa1810,TributosDiezmosEclesiasticosFueraCaxa1810,TributosDiezmosEclesiasticosTotal1810,TributosDoctrinas1810,MedioRealMinistros1810,MedioRealHospital1810,RealYMedioComunidades1810,TotalYearlyTribute1810
1,1,Acapulco,Mexico,,1804,,1804,1804-04-20,,1809,,1809,1809-07-24,,5,5,102,517,247,399,619,646,1265,1090.5,6359,3850,0.605441107,2509,0.394558893,5.83127006,2.300779459,177,630,250,425,807,675,1482,1268.5,12038,2509,9529,122,9407,122,3850,0.208423326,0.791576674,0.010134574,0.7814421,0.010134574,0.319820568,2723.9375,0,0,0,0,117.03125,117.03125,0,34.34375,34.34375,2909.65625,3108.3125,0,0,0,0,140.59375,140.59375,0,42.03125,42.03125,141,3473.96875
2,2,Actopan,Mexico,,1802,,1802,1802-08-21,,1807,,1807,1807-10-30,,7,7,2137,3223,124,281,5360,405,5765,4634.5,22664,1788,0.078891634,20876,0.921108366,4.890279426,4.50447729,2231,3205,99,219,5436,318,5754,4589,26483,20876,5607,1474,4133,1284,1788,0.788279273,0.211720727,0.055658347,0.15606238,0.048483933,0.06751501,8457.041667,931.6354167,0,931.6354167,143.1979167,207.84375,351.0416667,0,268.21875,268.21875,10276.15625,8342.34375,931.6354167,0,931.6354167,123.6458333,209.40625,333.0520833,0,270.03125,270.03125,1019.25,11166.34375
3,3,Apan,Mexico,,1800,,1800,1800-12-18,,1809,,1809,1809-12-30,,4,4,372,873,45,20,1245,65,1310,1101.5,5348,274,0.051234106,5074,0.948765894,4.855197458,4.606445756,553,842,62,46,1395,108,1503,1195.5,8353,5074,3279,1295,1984,295,274,0.607446426,0.392553574,0.155034119,0.237519454,0.035316653,0.032802586,2210.729167,0,0,0,31.39583333,59.5625,90.95833333,0,66.1875,66.1875,2434.0625,2422.802083,0,0,0,29.19791667,62.90625,92.10416667,0,69.90625,69.90625,258.9375,2913.65625
4,4,Cadereita,Mexico,,1792,,1792,1792-04-12,,1805,,1805,1805-07-30,,10,10,1163,2875,255,157,4038,412,4450,3741,19764,1793,0.090720502,17971,0.909279498,5.283079391,4.803795777,1093,2921,326,176,4014,502,4516,3806.5,27937,17971,10249,4515,5734,2328,1812,0.643268783,0.366861152,0.161608094,0.205247521,0.08333035,0.064860221,7073.354167,0,0,0,0,153.8020833,153.8020833,0,216.03125,216.03125,7659.21875,7270.614583,0,0,0,0,155.7291667,155.7291667,0,216.71875,216.71875,738.9375,8598.71875
5,5,Chalco y Tlayacapa,Mexico,,1800,1803,1801.5,1800-03-30,1803-10-22,1810,1809,1809.5,1810-08-11,1809-09-09,40,76,3518,10559,116,195,14077,311,14388,12571,51005,930,0.018233507,50075,0.981766493,4.057354228,3.983374433,3087,8846,67,131,11933,198,12131,10554,51516,50075,1441,348,1093,61,930,0.972028108,0.027971892,0.006755183,0.021216709,0.001184098,0.018052644,27191.64583,174.8645833,0,174.8645833,1019.177083,933.5625,1952.739583,0,737.53125,737.53125,30794.3125,22893.36458,174.8645833,0,174.8645833,887.4583333,760.03125,1647.489583,0,631.0625,631.0625,2173.3125,28151.15625
6,6,Chilapa,Mexico,,1800,,1800,1800-12-13,,1806,,1806,1806-08-12,,29,36,971,3887,221,68,4858,289,5147,4551,21819,1020,0.046748247,20799,0.953251753,4.794330916,4.570204351,1133,4014,205,67,5147,272,5419,4750,25999,20799,5200,615,4585,1397,1020,0.8,0.200007693,0.023654756,0.176352937,0.053732836,0.039232278,7204.28125,1366.010417,733.9791667,2099.989583,40.19791667,169.40625,209.6041667,0,272.625,272.625,10059.125,7591.989583,1366.010417,744.9166667,2110.927083,37.89583333,181.46875,219.3645833,0,286.28125,286.28125,955.5,11450.34375
7,7,Coatepec,Mexico,,1799,,1799,1799-11-08,,1810,,1810,1810-07-20,,4,11,458,1090,8,0,1548,8,1556,1323,5790,18,0.003108808,5772,0.996891192,4.376417234,4.362811791,473,1014,3,3,1487,6,1493,1255,6251,5772,479,300,179,61,18,0.92337226,0.07662774,0.047992321,0.028635418,0.009758439,0.002879539,2603.895833,0,0,0,48.29166667,73.21875,121.5104167,0,81.65625,81.65625,2888.71875,2452.708333,0,0,0,32.79166667,66.28125,99.07291667,0,73.78125,73.78125,263.0625,2962.40625
8,8,Cuautitlan,Mexico,,1797,,1797,1797-11-03,,1805,,1805,1805-08-31,,9,9,1034,3461,27,31,4495,58,4553,4022.5,18896,185,0.009790432,18711,0.990209568,4.697576134,4.651584835,1687,3481,23,34,5168,57,5225,4370,22368,18711,3657,1014,2643,1506,185,0.836507511,0.163492489,0.045332618,0.118159871,0.067328326,0.008270744,7757.28125,0,0,0,301.25,218.8125,520.0625,0,243.59375,243.59375,8764.53125,8428.802083,0,0,0,325.7916667,238.625,564.4166667,0,265.21875,265.21875,951.5625,10475.21875
9,9,Cuautla de Amilpas,Mexico,,1801,,1801,1801-11-13,,1807,,1807,1807-09-18,,18,18,726,2076,398,615,2802,1013,3815,3253,13184,2794,0.211923544,10390,0.788076456,4.05287427,3.193974792,579,1940,398,760,2519,1158,3677,3188.5,21730,10390,11340,1323,10017,1547,2794,0.478140819,0.521859181,0.060883571,0.46097561,0.071191901,0.128578003,6822.489583,100,0,100,72.94791667,133.5,206.4479167,36,152.4375,152.4375,7469.8125,6771.229167,100,0,100,66.39583333,121.71875,188.1145833,36,139.34375,139.34375,471,7845.03125
10,11,Coyoacan,Mexico,,1799,,1799,1799-11-30,,1810,,1810,1810-05-31,,4,4,1367,3039,22,11,4406,33,4439,3744.5,15652,57,0.003641707,15595,0.996358293,4.179997329,4.164775003,1201,2710,27,14,3911,41,3952,3338,19586,15595,3991,2201,1790,840,57,0.796232002,0.203767998,0.112376187,0.09139181,0.042887777,0.002910242,2096.25,0,4406.75,4406.75,0,199.5,199.5,937.5,232.65625,232.65625,8105.3125,1899.75,0,4731.90625,4731.90625,0,176.6875,176.6875,0,206.90625,206.90625,733.125,7955.28125
