ORD,Partido,Provincia,OBJECTID,Race,TribClassSuffix,TribClass,Year1,Year2,Fecha1,Fecha2,Caciques,Governadores,Reservados,Ausentes,ViudasSolteras,NinosNinas,Casados,Casadas,Casados_WifeTrib,Casados_SinEdad,Casados_WifeNoTrib,ViudosSolteros,Casadas_HusbNoTrib,Proximos,Tribs,TribsNewSystem,TribClass_TotalPersons,PT_ratio,PC_ratio,TC_ratio,CT_ratio,VSC_ratio,VaSaC_ratio,VoSoC_ratio,Pct_NinosProximos,Pct_Ninos,Pct_Reservados,Pct_TotalExempt,Pct_CaciquesGov,Pct_Ausentes,Pct_ViudasSolteras,Pct_ViudosSolteros,PctViudSoltTotal,Pct_Proximos,Pct_Married,Pct_Casados,TribsNewOld_Ratio
1,Alamos,Arispe,189402,Total,T,Todas,,,,,0,0,72,11,74,372,198,198,198,0,0,116,0,42,256,314,1083,4.23046875,2.734848485,0.646464646,1.546875,0.95959596,0.373737374,0.585858586,0.382271468,0.343490305,0.066481994,0.448753463,0,0.010156971,0.068328717,0.10710988,0.175438596,0.038781163,396,0.182825485,1.2265625
2,Alamos,Arispe,189402,Indio,IP,Indios de Pueblo,,,,,0,0,43,10,37,193,86,86,86,0,0,34,0,16,103,120,505,4.902912621,2.936046512,0.598837209,1.669902913,0.825581395,0.430232558,0.395348837,0.413861386,0.382178218,0.085148515,0.499009901,0,0.01980198,0.073267327,0.067326733,0.140594059,0.031683168,172,0.17029703,1.165048544
3,Alamos,Arispe,189402,Negro,NML,Negros y Mulatos libres,,,,,0,0,29,1,37,179,112,112,112,0,0,82,0,26,153,194,578,3.777777778,2.580357143,0.683035714,1.464052288,1.0625,0.330357143,0.732142857,0.35467128,0.309688581,0.05017301,0.404844291,0,0.001730104,0.064013841,0.141868512,0.205882353,0.044982699,224,0.193771626,1.267973856
4,Copala,Arispe,189469,Total,T,Todas,1803,,1803-03-15,,0,34,262,0,177,1763,942,914,914,0,28,525,0,136,1190.5,1467,4753,3.992440151,2.560883621,0.64143319,1.55900882,0.74522293,0.187898089,0.557324841,0.399537134,0.370923627,0.05512308,0.461813591,0.007153377,0,0.037239638,0.110456554,0.147696192,0.028613507,1856,0.198190616,1.232255355
5,Copala,Arispe,189469,Indio,IP,Indios de Pueblo,1803,,1803-03-15,,0,34,117,0,44,631,351,351,351,0,0,77,0,31,389.5,428,1636,4.200256739,2.33048433,0.554843305,1.802310655,0.344729345,0.125356125,0.219373219,0.404645477,0.385696822,0.071515892,0.496943765,0.020782396,0,0.026894866,0.047066015,0.07396088,0.018948655,702,0.214547677,1.098844673
6,Copala,Arispe,189469,Negro,NML,Negros y Mulatos libres,1803,,1803-03-15,,0,0,145,0,133,1132,591,563,563,0,28,448,0,105,801,1039,3117,3.891385768,2.701039861,0.694107452,1.440699126,0.983079526,0.225042301,0.758037225,0.396855951,0.363169714,0.046519089,0.44337504,0,0,0.042669233,0.143727944,0.186397177,0.033686237,1154,0.18960539,1.297128589
7,Cosala,Arispe,189475,Total,T,Todas,1793,,1793-03-07,,0,5,135,15,146,880,289,283,283,0,6,160,0,46,366,449,1959,5.352459016,3.424825175,0.63986014,1.56284153,1.058823529,0.505190311,0.553633218,0.472690148,0.44920878,0.068912711,0.544155181,0.002552323,0.007656968,0.07452782,0.081674324,0.156202144,0.023481368,572,0.147524247,1.226775956
8,Cosala,Arispe,189475,Indio,IP,Indios de Pueblo,1793,,1793-03-07,,0,5,64,12,78,589,181,179,179,0,2,54,0,25,207,235,1187,5.734299517,3.297222222,0.575,1.739130435,0.729281768,0.430939227,0.298342541,0.51727043,0.49620893,0.053917439,0.575400168,0.0042123,0.01010952,0.065711879,0.045492839,0.111204718,0.0210615,360,0.152485257,1.1352657
9,Cosala,Arispe,189475,Negro,NML,Negros y Mulatos libres,1793,,1793-03-07,,0,0,71,3,68,291,108,104,104,0,4,106,0,21,159,214,772,4.855345912,3.641509434,0.75,1.333333333,1.611111111,0.62962963,0.981481481,0.404145078,0.376943005,0.091968912,0.49611399,0,0.00388601,0.088082902,0.137305699,0.225388601,0.027202073,212,0.139896373,1.34591195
10,Culiacan,Arispe,189481,Total,T,Todas,1793,,1793-05-31,,0,52,433,100,519,1981,836,822,819,0,17,467,3,177,1062.5,1303,5387,5.070117647,3.249095296,0.640832328,1.560470588,1.179425837,0.620813397,0.55861244,0.400594023,0.367737145,0.080378689,0.49062558,0.009652868,0.018563208,0.096343048,0.08669018,0.183033228,0.032856878,1658,0.155188417,1.226352941
