ID,Year,Loc_Orig,,Remove,Zone_Med,Juris1580,Zone_Large2,Solicitor,TotalArea_ha,AGArea_ha,Cab,SuerteHuerta,Pedazos,Water,HerAgua_Molino,Agua_Rio,Agua_Riego,Agua,MolinoBatan,Molino,HeridoAgua_Molino,HeridoAgua_Batan,Batan,Buildings_ha,Buildings,VentaMeson,SolaresCasas,Solares,Casas,Livestock_ha,EGMenor_ha,EGMenor,EGMayor_ha,EGMayor,AhijaderoCorral_ha,AhijaderoCorral,Ahijadero,CORRAL,Est_Unsp_ha,Est_Unsp,Mines,Calera,Piedra,ColinNumber
1,1595,Oculma,,FALSE,Acolman North,Teotihuacan,Temascalapa,Martín de Aguirre,128.4,128.4,3,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1329
2,1595,Oculma,,FALSE,Acolman North,Teotihuacan,Temascalapa,Antonio de Pedraza,128.4,128.4,3,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1330
3,1601,Oculma,,FALSE,Acolman North,Teotihuacan,Temascalapa,Luis de Semiño,85.6,85.6,2,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1333
4,1616,Oculma,,FALSE,Acolman North,Teotihuacan,Temascalapa,Agustín de Iturriaga,85.6,85.6,2,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1337
5,1609,"Mateo, San",,FALSE,Acolman North,Teotihuacan,Temascalapa,Juan turrado,171.2,171.2,4,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1255
6,1613,Oculma,,FALSE,Acolman North,Teotihuacan,Temascalapa,Juan de Moreda,951.47,171.2,4,,,0,,,,,0,,,,,0,0,,0,,,780.27,780.27,1,0,,0,0,,,0,,0,0,0,1334
7,1614,"Tochatlauco, San Mateo",,FALSE,Acolman North,Teotihuacan,Temascalapa,Antonio de Mendoza,21.4,21.4,0.5,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,2556
8,1584,Oculma,,FALSE,Acolman Central,Teotihuacan,Lower Teo Valley,Dr. de la Fuente,780.27,0,,,,0,,,,,0,,,,,0,0,,0,,,780.27,780.27,1,0,,0,0,,,0,,0,0,0,1321
9,1589,Oculma,,FALSE,Acolman Central,Teotihuacan,Lower Teo Valley,Lucas López,171.2,171.2,4,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1324
10,1590,Tecama y Oculma,,FALSE,Acolman Central,Teotihuacan,Lower Teo Valley,Jerónimo Herrera,432.935,42.8,1,,,0,,,,,0,,,,,0,0,,0,,,390.135,390.135,0.5,0,,0,0,,,0,,0,0,0,1553
11,1595,Oculma,,FALSE,Acolman Central,Teotihuacan,Lower Teo Valley,Pedro Ruíz,85.6,85.6,2,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1331
12,1597,Oculma,,FALSE,Acolman Central,Teotihuacan,Lower Teo Valley,Catalina de Alvarado,171.2,171.2,4,,,0,,,,,0,,,,,0,0,,0,,,0,0,,0,,0,0,,,0,,0,0,0,1332
