Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CH-CL-1,CH,CL,1,CH-CL-001,501001,,Chalco,Classic,69-1,Mary Parsons,1969 Survey Map (1:25000),2134.35,514.12,2270,2270,0,0,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Slight,Slight,,,,,,Agricultural,None or Unspecified,685,6.7,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,140,70,140,,AD,3,Small dispersed village,3,,0,1,1,0,2,1,,1,0,1,0,0,0,3,2,,2134,514,2134350,514120,288
CH-CL-2,CH,CL,2,CH-CL-002,501002,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2133.7,513.9,2260,2260,0,0,9,"Lakeshore Plain, Freshwater, near sloping ground",Deep (100+ cm),Deep (100+ cm),,,Very slight,,None,Slight,,,,Agricultural,None or Unspecified,685,2.4,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,25,15,25,,AD,6,Large hamlet,2,1,2,1,1,0,1,0,,1,0,0,1,0,1,3,2,,2134,514,2133700,513900,299
CH-CL-3,CH,CL,3,CH-CL-003,501003,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2133.22,514.47,2280,2280,0,0,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Slight,Slight,,,,,,Agricultural,Slight (no difficulty in recognizing site boundaries),690,2.6,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,30,15,30,,AD,6,Large hamlet,,2,0,0,0,1,0,0,,1,1,1,0,0,0,3,2,,2133,514,2133220,514470,310
CH-CL-4,CH,CL,4,CH-CL-004,501004,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2131.3,515.47,2280,2280,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Very slight,,None,Slight,,,,Agricultural,None or Unspecified,725,0.9,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,1,,1,0,0,0,0,0,0,2,,2131,515,2131300,515470,321
CH-CL-5,CH,CL,5,CH-CL-005,501005,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2131.43,516.57,2300,2300,0,0,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,,,,Agricultural,None or Unspecified,740,3.4,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,30,15,30,,AD,6,Large hamlet,2,3,0,1,1,0,2,0,,1,0,0,2,1,1,3,2,,2131,517,2131430,516570,332
CH-CL-6,CH,CL,6,CH-CL-006,501006,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.53,517.62,2300,2300,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,,,,Agricultural,Moderate (determination of boundaries problematic),760,2.9,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,30,15,30,,AD,6,Large hamlet,3,,0,1,1,0,0,1,,1,0,1,0,0,0,3,2,,2131,518,2130530,517620,340
CH-CL-7,CH,CL,7,CH-CL-007,501007,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2130.72,520.6,2400,0,2390,2410,15,"Lower piedmont, Smooth terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate-deep,,Moderate,Deep,,,,Grazing and Agriculture,None or Unspecified,900,6.2,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,100,50,100,,AD,6,Large hamlet,3,,0,0,0,1,0,1,,1,0,0,0,0,0,1,2,,2131,521,2130720,520600,341
CH-CL-8,CH,CL,8,CH-CL-008,501008,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2127,519.35,2300,2300,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Moderate-slight,,Slight,Moderate,,,,Agricultural,None or Unspecified,860,1.4,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,2,,0,0,0,0,0,0,,1,1,0,0,0,0,1,2,,2127,519,2127000,519350,342
CH-CL-9,CH,CL,9,CH-CL-009,501009,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2125,518.55,2305,0,2300,2310,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Moderate-slight,,Slight,Moderate,,,,Agricultural,None or Unspecified,875,9.5,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,150,75,150,,AD,3,Small dispersed village,3,3,0,0,1,1,0,1,,1,1,0,2,1,1,4,2,,2125,519,2125000,518550,343
CH-CL-10,CH,CL,10,CH-CL-010,501010,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2125.78,517.95,2290,2290,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Moderate-slight,,Slight,Moderate,,,,Agricultural,None or Unspecified,825,5.8,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,60,30,60,,AD,6,Large hamlet,3,3,0,0,1,1,0,1,,1,0,0,2,1,1,3,2,,2126,518,2125780,517950,289
