Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CU-CL-1,CU,CL,1,CU-CL-001,0,,,,,,,2175.24,470,2324,0,0,0,,Lower Piedmont,Shallow-Medium,,,,None,,,,,,,Settlement & Agri,,800,0.8,,,,,,,,FALSE,,,L,,,,,,,,8,4,8,AD,AD,,Small Hamlet,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,2,,2175,470,2175240,470000,2157
CU-CL-2,CU,CL,2,CU-CL-002,0,,,,,,,2174.83,471,2340,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Grazing & Agri,,770,2,,,,,,,,FALSE,,,LM,,,,,,,,50,20,50,AD,AD,,Hamlet,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,,2175,471,2174830,471000,2158
CU-CL-3,CU,CL,3,CU-CL-003,0,,,,,,,2175.78,474,2280,0,0,0,,Lower Piedmont,Deep,,,,Slight-Moderate,,,,,,,Agricultural,,700,0.4,,,,,,,,FALSE,,,MH,,,,,,,,40,20,40,AD,AD,,Hamlet,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,2,,2176,474,2175780,474000,2159
CU-CL-4,CU,CL,4,CU-CL-004,0,,,,,,,2176.35,473,2300,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Settlement & Agri,,700,4.5,,,,,,,,FALSE,,,VL,L,LM,,,,,,58,23,58,AD,AD,,Hamlet,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1,0,2,,2176,473,2176350,473000,2160
CU-CL-5,CU,CL,5,CU-CL-005,0,,,,,,,2177.73,471,2335,0,0,0,,Lower Piedmont,Shallow,,,,None,,,,,,,Settlement & Agri,,740,1,,,,,,,,FALSE,,,L,,,,,,,,10,5,10,AD,AD,,Small Hamlet,0,0,0,0,2,0,0,1,1,1,0,0,0,1,1,0,2,,2178,471,2177730,471000,2161
CU-CL-6,CU,CL,6,CU-CL-006,0,,,,,,,2177.95,474,2280,0,0,0,,Lower Piedmont,Deep,,,,Slight,,,,,,,Settlement & Agri,,700,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,2,,2178,474,2177950,474000,2162
CU-CL-7,CU,CL,7,CU-CL-007,0,,,,,,,2179.53,474,2315,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Agricultural,,690,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,,2180,474,2179530,474000,2163
CU-CL-8,CU,CL,8,CU-CL-008,0,,,,,,,2178.7,475,2285,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Settlement & Agri,,690,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,2,,2179,475,2178700,475000,2164
CU-CL-9,CU,CL,9,CU-CL-009,0,,,,,,,2178.65,475,2275,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Settlement & Agri,,690,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,,2179,475,2178650,475000,2165
CU-CL-10,CU,CL,10,CU-CL-010,0,,,,,,,2178.87,476,2268,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Settlement & Agri,,690,3,,,,,,,,FALSE,,,M,LM,MH,,,,,,120,60,120,AD,AD,,Sm Nucl Village,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,2,,2179,476,2178870,476000,2166
