Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
TE-AZ-1,TE,AZ,1,TE-AZ-001,0,,,,,,,2171.05,507,2275,0,0,0,,Lower Piedmont,Medium-Deep,,,,Very Slight,,,,,,,Agricultural,,560,6.3,,,,,,,,FALSE,,,LM,,,,,,,Substantial,315,0,0,,AD,,Sm Nucl Village,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2171,507,2171050,507000,3632
TE-AZ-2,TE,AZ,2,TE-AZ-002,0,,,,,,,2170.01,504,2265,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,,,,None,,550,0.6,1,,,,,100,,FALSE,,,L,LM,,,,,,Substantial,25,0,0,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,,2170,504,2170010,504000,3633
TE-AZ-3,TE,AZ,3,TE-AZ-003,0,,,,,,,2171.42,504,2333,0,0,0,,Lower Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,550,7.4,6,,,,,1350,,TRUE,,,VL,L,LM,,,,,Unspecified,42,0,0,,HC,,Hamlet,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,,2171,504,2171420,504000,3634
TE-AZ-4,TE,AZ,4,TE-AZ-004,0,,,,,,,2168.08,505,2239,0,0,0,,Deep Soil Alluvium,Deep,,,,Very Slight,,,,,,,Grazing,,570,0.6,,,,,,,,FALSE,,,,,,,,,,,10,0,0,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2168,505,2168080,505000,3635
TE-AZ-5,TE,AZ,5,TE-AZ-005,0,,,,,,,2167.93,505,2239,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Grazing & Agri,,570,1.5,6,,,,,5175,,TRUE,,,,,,,,,,,60,0,0,,HC,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2168,505,2167930,505000,3636
TE-AZ-6,TE,AZ,6,TE-AZ-006,0,,,,,,,2167.22,506,2239,0,0,0,,Deep Soil Alluvium,Deep,,,,Slight,,,,,,,Grazing,,590,5.6,,,,,,,,FALSE,,,,,,,,,,,,0,0,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2167,506,2167220,506000,3637
TE-AZ-7,TE,AZ,7,TE-AZ-007,0,,,,,,,2166.55,506,2239,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Settlement,,600,10.6,,,,,,,,FALSE,,,,,,,,,,,400,0,0,,AD,,Sm Nucl Village,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4,,2167,506,2166550,506000,3638
TE-AZ-8,TE,AZ,8,TE-AZ-008,0,,,,,,,2170.19,502,2302,0,0,0,,Lower Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,550,1,,,,,,,,FALSE,,,L,LM,M,,,,,,,0,0,,AD,,Ceremonial Ctr,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,,2170,502,2170190,502000,3639
TE-AZ-9,TE,AZ,9,TE-AZ-009,0,Chiconautla,,,,,,2170.08,500,2295,0,0,0,,Deep Soil Alluvium,Medium,,,,Moderate,,,,,,,"Graz, Agri, & Set",,560,131.6,25,,,,,125226,,FALSE,,,,,,,,,,,2200,0,0,,AD,,Provincial Ctr,0,0,0,1,1,2,0,1,1,1,2,3,0,1,0,0,4,Estimate from ethnohistoric data (440 tributarios x 5).,2170,500,2170080,500000,3640
TE-AZ-10,TE,AZ,10,TE-AZ-010,0,,,,,,,2168.08,506,2239,0,0,0,,Deep Soil Alluvium,Deep,,,,Moderate,,,,,,,None,,570,0.1,,,,,,,,FALSE,,,,,,,,,,,10,0,0,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2168,506,2168080,506000,3641
