ID,ID_orig,Name,Phase,Type,Subtype,Collection,Tracing,East,North,Region,SurvReg,Reg
331,331,Grassy Rises,,Structure,Possible Tlatel,,,506370.6505,2149775.728,Texcoco III,TX,TX-III
3632,1513,Tl. 13,,Structure,Tlatel,TRUE,Strip_I_Map_1b,510115.2945,2162457.091,Texcoco I,TX,TX-I
3887,1559,Tl. 15,,Structure,Tlatel,TRUE,Strip_I_Map_1b,508886.395,2163989.948,Texcoco I,TX,TX-I
3626,1510,Tl. 18,,Structure,Tlatel,TRUE,Strip_I_Map_1b,511464.562,2163419.926,Texcoco I,TX,TX-I
3644,1509,Tl. 23,,Structure,Tlatel,TRUE,Strip_I_Map_1b,513224.944,2162717.735,Texcoco I,TX,TX-I
3746,1512,Tl. 584,,Structure,Tlatel,TRUE,Strip_I_Map_1b,511836.672,2161931.683,Texcoco I,TX,TX-I
3989,1564,Tl. 1,,Structure,Tlatel,TRUE,Strip_I_Map_1b,505672.4455,2162704.961,Texcoco I,TX,TX-I
3795,1519,Tl. 11,,Structure,Tlatel,TRUE,Strip_I_Map_1b,510089.1225,2163362.311,Texcoco I,TX,TX-I
3685,1511,Tl. 17,,Structure,Tlatel,TRUE,Strip_I_Map_1b,511590.209,2162525.515,Texcoco I,TX,TX-I
3542,1565,Tl. 5,,Structure,Tlatel,TRUE,Strip_I_Map_1b,506324.9575,2163969.507,Texcoco I,TX,TX-I
3624,1514,Tl. 6,,Structure,Tlatel,TRUE,Strip_I_Map_1b,510497.281,2163761.775,Texcoco I,TX,TX-I
3586,1516,Tl. 8,,Structure,Tlatel,TRUE,Strip_I_Map_1b,509669.6985,2163686.769,Texcoco I,TX,TX-I
3594,1517,Tl. 9,,Structure,Tlatel,TRUE,Strip_I_Map_1b,509975.5775,2163771.59,Texcoco I,TX,TX-I
2106,,Aztec Salt Tlatel,,Structure,Undesignated Tlatel,,,497820.7549,2140457.257,Ixtapalapa,IX,IX
2102,,Aztec Tlatel,,Structure,Undesignated Tlatel,,,496997.7744,2139673.425,Ixtapalapa,IX,IX
2103,,Aztec Tlatel,,Structure,Undesignated Tlatel,,,497042.0298,2139698.957,Ixtapalapa,IX,IX
2104,,Aztec Tlatel,,Structure,Undesignated Tlatel,,,497088.8384,2139732.149,Ixtapalapa,IX,IX
2105,,Aztec Tlatel,,Structure,Undesignated Tlatel,,,497188.4131,2139803.638,Ixtapalapa,IX,IX
165,165,Earth Mound,,Structure,Possible Tlatel,,,523374.771,2113574.414,Chalco,CH,CH
1462,1484,eroded mound?,A,Structure,Possible Tlatel,,,522651.081,2154478.277,Texcoco II,TX,TX-II
1489,1511,eroded mound?,A,Structure,Possible Tlatel,,,518711.194,2153069.852,Texcoco II,TX,TX-II
3490,901,Feat. A,,Structure,Feature,TRUE,Jeff_I_L4_1_ABCD,495685.1895,2203370.286,Zumpango,ZU,ZU
3965,1099,Feat. A,,Structure,Feature,TRUE,MHP_II_L2_5BD,477614.3285,2204443.082,Zumpango,ZU,ZU
3250,266,Feat. A  (w),,Structure,Feature,TRUE,16abcd_24abcd_32gh,504928.145,2127081.317,Chalco,CH,CH
2310,1139,Feat. AA,,Structure,Feature,TRUE,MHP_II_L2_3ABCD,482880.435,2206183.704,Zumpango,ZU,ZU
2417,821,Feat. AA,,Structure,Feature,TRUE,1abcd_5ab_6abcd_7bd_8b,511028.7465,2119938.105,Chalco,CH,CH
3096,432,Feat. AA,,Structure,Feature,TRUE,54d_31ab_32ab,500158.606,2128961.453,Chalco,CH,CH
3456,1279,Feat. AA,,Structure,Feature,TRUE,Jeff_II_L2_1_CD,491486.879,2203273.641,Zumpango,ZU,ZU
3303,284,Feat. AA (w),,Structure,Feature,TRUE,16abcd_24abcd_32gh,502350.639,2130571.64,Chalco,CH,CH
3348,77,Feat. AAA (w),,Structure,Feature,TRUE,23abcdef,500277.5605,2130432.331,Chalco,CH,CH
