GerhardNum,Juris,SvBState,OBJECTID,Aggregation,Trib1570,Trib1580,Trib1590,Trib1600,Trib1620,Trib1645,Trib1688,Trib1720,Trib1725,Trib1730,Trib1735,Fam_1743,Trib1745,Trib1750,Trib1765,Trib1775,Trib1780,Trib1785,Trib1790,Trib1800,Trib1810
63,Nombre de Dios,Durango,189571,,,,,75,,,,,,,,194,242.5,,,,,,,,
115,Venado y La Hedionda,San Luis Potosi,189707,,,,,,,,191,,,,,,,,,,,,,,1190
74,San Luis Potosi,San Luis Potosi,189624,YES 3,,,,,,,,,,,,4955,6193.75,,,,,,,9389,10995.5
114,Valles,San Luis Potosi,189706,,4238,,,2700,,1342,1286,,,,,11494,14367.5,,,,,,,6932,6059.5
75,San Miguel el Grande,Guanajuato,189091,YES 2,,,,,,,,,,,,,,,1561,4433,,,4101,6423,7571.5
73,San Luis de la Paz,Guanajuato,189623,,585,,,,,,,,,,,2343,2928.75,,,,,,,3762,4305.5
50,Leon,Guanajuato,189117,YES 3,,,,,,150,,,,,3695,,,,,,,,,6762,7586
32,Guanaxuato,Guanajuato,189031,YES 4,,,,,,,,,,,3280,,10265,,,,,,,7337,12211.5
11,Celaya,Guanajuato,189014,,6000,3500,,2000,285,3500,5612,,14195,15932,18597,,7530,10930,12881,15905,17886,15527,18618,22000,27921
10,Cadereyta,Queretaro,99248,,,,,,,,,,,,901,,,,,,,,,3456,3467.5
70,Queretaro,Queretaro,188908,,,,,,,770,2193,,,,9021,5506,6882.5,,,,,,,13185,13651.5
122,Xilotepec,Queretaro,189519,,18460,,9100,6130,3490,1470,6530,9147,10087,12976.5,,7179,9588.5,10166.5,8575.5,11822.5,14069,12042.5,12462.5,15851,16937.5
46,Izatlan,Jalisco,189492,,1000,,,,436,457,478,,,,559,335,418.75,,,,,,,783,782.5
9,Autlan,Jalisco,189413,,3042,,,800,,720,643,,,,1044,280,350,,,,,,,815,962.5
76,Sayula,Jalisco,189638,,5800,,,3500,1625,1372,1656,,,,,3072,3840,,,,,,,7433,7993.5
4,Amula,Jalisco,189699,,1890,,,465,,590,716,,,,532,,639,,,,,,,1097,1348.5
111,Tuspa,Jalisco,189723,,2646,1700,,,685,757,829,,975,,1157,,1856,1328,,,,,,2459,2329.5
17,Colima,Colima,189461,,1800,,,1000,,400,459,,,686,747,,796,752,869,,910,804,,1084,1084
60,Motines,Colima,189459,,1700,1200,,1000,,800,1070,,,,,,1891,,,,,,,2760,
128,Zamora y Xacona,Michoacan,189722,,1000,,935,672,436,278,536,,,,1311,496,620,,,,,,,1247,
106,Tlazazalca,Michoacan,181621,,849,,,547,,292,498,,,,,875,1093.75,,,,,,,2040,
113,Valladolid,Michoacan,189112,YES 16,25385,,,12770,,4406,5143,,,,6590,,8008,,,,,,,12863,
23,Cuiseo de la Laguna,Michoacan,189480,,2500,,1545,1019,624,383,315,,,,,446,557.5,766,,,,,1238,1400,1467
103,Tlalpuxagua,Michoacan,189689,YES 2,1485,,,1260,600,415,1158,,,,,1445,1806.25,,,,,,,2556,
26,Charo,Michoacan,188882,,600,,,351,,254,296,,,,,430,537.5,,,,,,,462,
53,Maravatio,Michoacan,189277,,4148,,,2000,1120,803,1942,,,,4582,3231,4038.75,,,,,,,5845,
101and 123,Xiquilpa y Tinhuindin,Michoacan,181564,,2575,2180,,1792,,1160,1155,,1530,1622,2151,,2180,1785,,2331,,,2090,3161,
80,Tancitaro,Michoacan,189146,,1200,,,1000,700,493,368,,,,504,395,493.75,,,,,,,393,
15,Cinagua y la Guacana,Michoacan,189410,,1750,,,620,,200,160,,,,,,328,,,,,,,603,
37,Guaymeo y Sirandaro,Michoacan,189517,,2661,,,1175,,416,579,,,,740,915,1143.75,,,,,,,1859,1768
67,Panuco,Veracruz,189585,,5140,,,1220,,600,338,,,,2011,1423,1778.75,,,,,,,3566,3705.5
68,Papantla,Veracruz,189586,,1750,,,,835,574,942,,,,,1543,1928.75,,,,,,,2269,2292.5
119,Xalapa de la Feria,Veracruz,189273,,7270,5589,,,1434,1469,3008,3687,3893,4034,,4275,3699,3988,4618,4041,4014.5,5552,4232.5,4508.5,4713
117,Vera Cruz Antigua,Veracruz,188571,YES 2,1701,,,,380,396,820,,,,,1326,1525,,,,,,,901.5,632
64,Orizaba,Veracruz,189578,,1140,,,,500,689,1740,3958,4590,4633.5,,3392,3516.5,4407.5,3280,4847.5,5557,5537.5,7028.5,7531.5,7372
18,Cordoba,Veracruz,189473,,1400,,,,440,850,1391,3127,3879,3931.5,3774,2423,2467,2649.5,2106.5,2946.5,2762,2956.5,2956,2353.5,2513.5
112,Tuxtla y Cotaxtla,Veracruz,188836,,1000,,,742,629,459,735,,,,,,2080,,,,,,,2468,2267.5
116,Vera Cruz Nueva,Veracruz,189114,,443,,,,134,115,189,,,,,347,433.75,,,,,,,545,958.5
19,Cozamaloapa,Veracruz,181547,,1000,,,537,300,230,432,,,,,800,1000,,,,,,,1014,2646.5
38,Guazacualco,Veracruz,189396,,3200,3000,,915,,572,877,,,,,1638,2047.5,,,,,,,3100,3281.5
81 and 42,Tasco y Iguala,Guerrero,181615,,9540,7000,,3761,,1388,1062,1115.5,1201.5,1054,,1579,1242,1404,1491,1780.5,2148.5,2118.5,1888,3295,4084.5
29,Chilapa,Guerrero,189448,,7440,,,4390,1480,1740,2000,2322,2600,2722,2472,,3052,3263,3357,3416,3686,3686,4177.5,4372.5,4580.5
