AgeBracket,AgeBracketStart,AgeBracketEnd,3W_M_r0,3W_M_r5,3W_F_r0,3W_F_r5,8W_M_r0,8W_M_r5,8W_F_r0,8W_F_r5,1W_M_r0,1W_M_r5,1W_F_r0,1W_F_r5
0_4,0,4,0.1307,0.1468,0.1274,0.1436,0.1051,0.12,0.1017,0.1167,0.1465,0.1801,0.1431,0.16
5_9,5,9,0.1079,0.118,0.1053,0.1157,0.0942,0.1048,0.0912,0.1021,0.1147,0.1339,0.1124,0.1225
10_14,10,14,0.1031,0.1099,0.1,0.1072,0.0916,0.0993,0.0884,0.0964,0.1085,0.1205,0.1055,0.1122
15_19,15,19,0.0982,0.1022,0.0946,0.0989,0.0888,0.094,0.0854,0.0909,0.1024,0.1081,0.0987,0.1023
20_24,20,24,0.0918,0.0931,0.0881,0.0898,0.085,0.0877,0.0817,0.0848,0.0944,0.0949,0.0906,0.0916
25_29,25,29,0.0843,0.0834,0.081,0.0805,0.0805,0.0811,0.0775,0.0785,0.0852,0.0814,0.0818,0.0807
30_34,30,34,0.0765,0.0738,0.0736,0.0714,0.0757,0.0743,0.073,0.0721,0.0757,0.0689,0.0729,0.0701
35_39,35,39,0.0682,0.0642,0.0662,0.0627,0.0704,0.0675,0.0683,0.0658,0.066,0.0571,0.0642,0.0602
40_44,40,44,0.0596,0.0547,0.0591,0.0545,0.0646,0.0603,0.0635,0.0596,0.056,0.0461,0.0559,0.0511
45_49,45,49,0.0507,0.0454,0.0522,0.047,0.0582,0.053,0.0586,0.0537,0.0462,0.0362,0.0482,0.043
50_up,50,,0.1289,0.1087,0.1525,0.1286,0.1858,0.1578,0.2108,0.1795,0.1045,0.0727,0.1268,0.1063
