Year,Pop,Series
1510.00,1524924.925,ModTraj
1519,1590990.991,ModTraj
1519.597156,1230630.631,ModTraj
1520.130332,1083483.483,ModTraj
1522.689573,945345.3453,ModTraj
1523.969194,948348.3483,ModTraj
1525.035545,957357.3574,ModTraj
1526.528436,960360.3604,ModTraj
1528.021327,963363.3634,ModTraj
1528.661137,969369.3694,ModTraj
1529.620853,969369.3694,ModTraj
1530.793839,936336.3363,ModTraj
1535.592417,861261.2613,ModTraj
1536.658768,864264.2643,ModTraj
1537.618483,798198.1982,ModTraj
1538.898104,744144.1441,ModTraj
1539.43128,750150.1502,ModTraj
1542.843602,750150.1502,ModTraj
1543.590047,756156.1562,ModTraj
1544.763033,756156.1562,ModTraj
1545.296209,693093.0931,ModTraj
1545.722749,627027.027,ModTraj
1546.042654,581981.982,ModTraj
1546.895735,497897.8979,ModTraj
1548.921801,494894.8949,ModTraj
1550.094787,482882.8829,ModTraj
1550.841232,467867.8679,ModTraj
1552.014218,464864.8649,ModTraj
1556.599526,464864.8649,ModTraj
1557.559242,458858.8589,ModTraj
1558.838863,407807.8078,ModTraj
1559.798578,386786.7868,ModTraj
1564.810427,386786.7868,ModTraj
1565.770142,377777.78,ModTraj
1566.943128,344744.7447,ModTraj
1569.92891,347747.7477,ModTraj
1570.675355,353753.7538,ModTraj
1574.727488,353753.7538,ModTraj
1576.97,236636.6366,ModTraj
1582.085308,236636.6366,ModTraj
1582.725118,242642.6426,ModTraj
1586.777251,242642.6426,ModTraj
1587.950237,230630.6306,ModTraj
1589.976303,230630.6306,ModTraj
1590.829384,206606.6066,ModTraj
1592.109005,203603.6036,ModTraj
1592.748815,197597.5976,ModTraj
1596.161137,197597.5976,ModTraj
1596.800948,203603.6036,ModTraj
1600.746445,203603.6036,ModTraj
1601.919431,182582.5826,ModTraj
1602.772512,188588.5886,ModTraj
1608.957346,191591.5916,ModTraj
1609.810427,197597.5976,ModTraj
1612.689573,197597.5976,ModTraj
1613.969194,188588.5886,ModTraj
1617.808057,188588.5886,ModTraj
1618.661137,197597.5976,ModTraj
1623.886256,197597.5976,ModTraj
1624.632701,206606.6066,ModTraj
1519,1590768,ModPts
1535,865951,ModPts
1547,492906,ModPts
1569,343018,ModPts
1580,230630,ModPts
1595,193299,ModPts
1607,183033,ModPts
1625,195618,ModPts
1519,1271095,MildPts
1540,738397,MildPts
1548,533092,MildPts
1565,517461,MildPts
1580,455457,MildPts
1597,397455,MildPts
1607,376957,MildPts
1625,337739,MildPts
1519,2673062,SeverePts
1532,1157472,SeverePts
1548,596673,SeverePts
1568,321951,SeverePts
1580,194214,SeverePts
1595,133230,SeverePts
1607,114104,SeverePts
1625,105142,SeverePts
