Year,Population,Series
1510.084048,2659088.627,Severe Simulation
1518.895728,2681339.077,Severe Simulation
1520.595365,1442610.742,Severe Simulation
1524.615307,1448075.031,Severe Simulation
1527.552768,1453597.895,Severe Simulation
1529.562388,1459170.968,Severe Simulation
1530.809351,1379558.037,Severe Simulation
1531.598719,1248833.504,Severe Simulation
1532.073886,1157898.701,Severe Simulation
1534.084209,1157789.917,Severe Simulation
1536.867732,1157639.293,Severe Simulation
1537.649368,1089415.179,Severe Simulation
1538.431707,1015509.208,Severe Simulation
1538.744502,987083.1911,Severe Simulation
1540.754825,986974.4074,Severe Simulation
1542.146587,986899.0956,Severe Simulation
1542.767256,969820.055,Severe Simulation
1544.932219,969702.9034,Severe Simulation
1545.880445,804878.8652,Severe Simulation
1546.355612,713944.0617,Severe Simulation
1546.831482,617327.4021,Severe Simulation
1546.988231,600273.4655,Severe Simulation
1549.000663,583119.1131,Severe Simulation
1550.394533,565998.2327,Severe Simulation
1551.481935,526166.6633,Severe Simulation
1555.194003,520283.9757,Severe Simulation
1557.97823,514451.4959,Severe Simulation
1559.226598,423474.8526,Severe Simulation
1560.776515,394981.8917,Severe Simulation
1563.870022,389132.6759,Severe Simulation
1565.417127,383367.14,Severe Simulation
1565.107144,389065.7321,Severe Simulation
1566.969855,332146.7542,Severe Simulation
1567.591228,309385.8574,Severe Simulation
1572.385074,309126.4502,Severe Simulation
1575.168598,308975.8266,Severe Simulation
1576.569498,235036.384,Severe Simulation
1577.348322,189539.6943,Severe Simulation
1579.977206,189397.4387,Severe Simulation
1583.53393,189204.9753,Severe Simulation
1584.925692,189129.6635,Severe Simulation
1586.626735,189037.6157,Severe Simulation
1588.485229,166209.7751,Severe Simulation
1590.031631,166126.0954,Severe Simulation
1590.340911,166109.3594,Severe Simulation
1591.582251,131951.2783,Severe Simulation
1594.056494,131817.3907,Severe Simulation
1596.530737,131683.503,Severe Simulation
1599.314261,131532.8795,Severe Simulation
1601.324584,131424.0958,Severe Simulation
1602.409877,108638.095,Severe Simulation
1605.193401,108487.4715,Severe Simulation
1608.286205,108320.1119,Severe Simulation
1609.368686,108261.5361,Severe Simulation
1611.99757,108119.2805,Severe Simulation
1613.234692,108052.3367,Severe Simulation
1614.781094,107968.6569,Severe Simulation
1617.719258,107809.6653,Severe Simulation
1619.883518,113374.3699,Severe Simulation
1621.42992,113290.6901,Severe Simulation
1623.130962,113198.6424,Severe Simulation
1624.677364,113114.9626,Severe Simulation
1510.223224,1534081.096,Moderate Simulation
