Year,TribRatio,Series
1510.233236,3.521249258,Moderate
1510.816327,3.528370185,Moderate
1511.690962,3.535511752,Moderate
1512.274052,3.539092856,Moderate
1513.440233,3.54271524,Moderate
1514.169096,3.546306664,Moderate
1515.48105,3.549939369,Moderate
1516.209913,3.54999097,Moderate
1517.084548,3.558902448,Moderate
1517.813411,3.558954049,Moderate
1518.833819,3.560796202,Moderate
1518.979592,3.544877319,Moderate
1519.271137,3.518349287,Moderate
1519.41691,3.49889058,Moderate
1519.708455,3.47413246,Moderate
1520,3.447604427,Moderate
1520.291545,3.421076395,Moderate
1520.58309,3.398088186,Moderate
1522.186589,3.398201708,Moderate
1522.623907,3.407082226,Moderate
1523.790087,3.412474522,Moderate
1524.51895,3.412526123,Moderate
1525.539359,3.417908099,Moderate
1525.830904,3.421468562,Moderate
1526.268222,3.421499523,Moderate
1527.87172,3.421613045,Moderate
1529.183673,3.43763513,Moderate
1530.058309,3.457166078,Moderate
1530.641399,3.462517093,Moderate
1531.078717,3.478477257,Moderate
1531.370262,3.501506747,Moderate
1531.516035,3.529835651,Moderate
1531.80758,3.554635053,Moderate
1532.099125,3.581204365,Moderate
1532.682216,3.606024407,Moderate
1533.119534,3.627294306,Moderate
1533.702624,3.653884259,Moderate
1533.994169,3.683993395,Moderate
1534.431487,3.717652674,Moderate
1534.723032,3.738912253,Moderate
1535.451895,3.751353234,Moderate
1536.180758,3.758484481,Moderate
1536.618076,3.740816327,Moderate
1537.201166,3.717848758,Moderate
1537.346939,3.677151113,Moderate
1537.492711,3.654152584,Moderate
1537.638484,3.618764674,Moderate
1537.784257,3.593996233,Moderate
1537.930029,3.569227792,Moderate
1538.075802,3.539149617,Moderate
1538.221574,3.512611264,Moderate
1538.367347,3.475453443,Moderate
1538.51312,3.445375268,Moderate
1538.658892,3.418836915,Moderate
1538.804665,3.383449005,Moderate
1538.950437,3.349831007,Moderate
1538.950437,3.333901803,Moderate
1539.6793,3.34103305,Moderate
1540.408163,3.360553678,Moderate
1541.428571,3.381864857,Moderate
1542.303207,3.397855982,Moderate
1542.303207,3.410245362,Moderate
1543.177843,3.420926752,Moderate
1544.781341,3.440509301,Moderate
1545.218659,3.465319023,Moderate
1545.655977,3.493668567,Moderate
1546.093294,3.5202482,Moderate
1546.530612,3.545057922,Moderate
1546.96793,3.571637555,Moderate
1547.405248,3.598217188,Moderate
1547.696793,3.619476767,Moderate
1548.134111,3.6460564,Moderate
1548.571429,3.676175856,Moderate
1549.008746,3.699215666,Moderate
1550.174927,3.741776104,Moderate
1550.466472,3.764805594,Moderate
1550.758017,3.787835083,Moderate
1551.049563,3.814404396,Moderate
1551.341108,3.837433886,Moderate
1551.632653,3.862233288,Moderate
1552.069971,3.883503186,Moderate
1553.090379,3.901274543,Moderate
1553.527697,3.888916123,Moderate
1553.965015,3.878327614,Moderate
1555.422741,3.866041436,Moderate
1556.443149,3.859034031,Moderate
1557.317784,3.853786217,Moderate
1557.609329,3.843187389,Moderate
1557.755102,3.830808328,Moderate
1558.046647,3.821979411,Moderate
1558.19242,3.843228669,Moderate
1558.483965,3.864488248,Moderate
1558.629738,3.880427772,Moderate
1559.212828,3.876929229,Moderate
1560.087464,3.86460177,Moderate
1560.233236,3.850452798,Moderate
1560.379009,3.836303826,Moderate
1560.816327,3.811556026,Moderate
1561.836735,3.788619417,Moderate
1562.274052,3.769181351,Moderate
1562.419825,3.733793442,Moderate
1563.586006,3.712637065,Moderate
1564.314869,3.700299285,Moderate
1564.606414,3.721558864,Moderate
1564.752187,3.733958564,Moderate
1565.772595,3.735800717,Moderate
1566.355685,3.765930494,Moderate
1566.501458,3.78540984,Moderate
1567.813411,3.773113341,Moderate
1569.41691,3.755527748,Moderate
1571.166181,3.739722387,Moderate
1571.895044,3.739773988,Moderate
1572.478134,3.761054207,Moderate
1572.915452,3.784094017,Moderate
1573.498542,3.81068397,Moderate
1573.790087,3.835483372,Moderate
1574.51895,3.819605769,Moderate
1574.956268,3.814326995,Moderate
1576.122449,3.814409556,Moderate
1577.142857,3.810941975,Moderate
1578.017493,3.798614515,Moderate
1578.309038,3.788015687,Moderate
1578.892128,3.768587941,Moderate
1579.620991,3.750940427,Moderate
1580.349854,3.7775407,Moderate
1580.932945,3.798820919,Moderate
1581.22449,3.827160143,Moderate
1581.370262,3.871418251,Moderate
1583.556851,3.871573054,Moderate
1585.889213,3.871738177,Moderate
1586.472303,3.848770608,Moderate
1587.346939,3.855912175,Moderate
1588.367347,3.866603886,Moderate
1589.533528,3.840137774,Moderate
1589.970845,3.834859,Moderate
1590.262391,3.854348667,Moderate
1590.699708,3.870308831,Moderate
1591.428571,3.834962202,Moderate
1591.865889,3.80844449,Moderate
1592.303207,3.787236513,Moderate
1592.740525,3.757178978,Moderate
1593.469388,3.716522614,Moderate
1594.344023,3.66348719,Moderate
1595.364431,3.605152352,Moderate
1596.676385,3.564537269,Moderate
1597.405248,3.539810109,Moderate
1599.008746,3.52753425,Moderate
1599.883382,3.508127145,Moderate
1600.612245,3.481630073,Moderate
1601.049563,3.529448644,Moderate
1601.48688,3.575497304,Moderate
1602.361516,3.602107898,Moderate
1603.090379,3.589770118,Moderate
1603.819242,3.598671276,Moderate
1604.548105,3.619961815,Moderate
1605.276968,3.664261204,Moderate
1606.734694,3.685603344,Moderate
1608.19242,3.689246369,Moderate
1609.358601,3.669859904,Moderate
1610.233236,3.650452798,Moderate
1611.399417,3.62752651,Moderate
1611.836735,3.608088444,Moderate
1612.857143,3.594001393,Moderate
1613.877551,3.574604608,Moderate
1615.043732,3.583536727,Moderate
1615.626822,3.608356769,Moderate
1615.918367,3.636695993,Moderate
1616.938776,3.615529296,Moderate
1618.104956,3.597912743,Moderate
1620,3.583887613,Moderate
1621.749271,3.580471632,Moderate
1623.498542,3.571745917,Moderate
1510.379009,3.52302949,Mild
1512.274052,3.539092856,Mild
1514.023324,3.546296344,Mild
1515.626822,3.549949689,Mild
1517.521866,3.558933409,Mild
1518.979592,3.560806522,Mild
1519.41691,3.530748987,Mild
1520,3.479462834,Mild
1520.291545,3.456474625,Mild
1520.874636,3.421117676,Mild
1521.020408,3.410508527,Mild
1521.895044,3.410570448,Mild
1523.061224,3.398263629,Mild
1524.081633,3.396565959,Mild
1524.664723,3.391297505,Mild
1525.685131,3.391369746,Mild
1527.142857,3.380853479,Mild
1528.163265,3.38092572,Mild
1528.892128,3.384517144,Mild
1529.329446,3.391627751,Mild
1530.204082,3.40053923,Mild
1530.932945,3.405900565,Mild
1531.078717,3.416530354,Mild
1531.22449,3.425390232,Mild
1531.661808,3.437810573,Mild
1532.244898,3.459090792,Mild
1533.119534,3.487471297,Mild
1533.411079,3.510500787,Mild
1533.848397,3.535310509,Mild
1534.139942,3.556570087,Mild
1534.723032,3.599089244,Mild
1535.597668,3.618620191,Mild
1536.326531,3.618671792,Mild
1537.055394,3.597484455,Mild
1537.201166,3.56740628,Mild
1537.346939,3.533788281,Mild
1537.492711,3.500170283,Mild
1537.784257,3.470102428,Mild
1537.930029,3.432944606,Mild
1538.221574,3.388717459,Mild
1538.367347,3.349789726,Mild
1538.658892,3.293173198,Mild
1538.804665,3.263095023,Mild
1539.09621,3.245416548,Mild
1539.970845,3.273797054,Mild
1540.699708,3.296857504,Mild
1541.137026,3.309277845,Mild
1541.865889,3.318179004,Mild
1542.44898,3.327069842,Mild
1542.740525,3.34832942,Mild
1543.760933,3.364330865,Mild
1544.344023,3.373221703,Mild
1544.781341,3.39272169,Mild
1545.218659,3.412221678,Mild
1545.947522,3.442361774,Mild
1546.530612,3.467181816,Mild
1546.96793,3.486681803,Mild
1547.405248,3.50618179,Mild
1547.988338,3.531001832,Mild
1548.425656,3.548731907,Mild
1548.862974,3.568231895,Mild
1550.029155,3.58424366,Mild
1551.049563,3.596705281,Mild
1551.48688,3.621515003,Mild
1551.778426,3.644544493,Mild
1552.069971,3.651644779,Mild
1552.944606,3.649936789,Mild
1553.527697,3.637588689,Mild
1554.110787,3.619930855,Mild
1554.83965,3.598743518,Mild
1555.422741,3.575775949,Mild
1555.714286,3.558097474,Mild
1556.151603,3.524500116,Mild
